Gene,p-value,Fold Change,log2(Fold Change)
OCIAD2,2.173729007299185e-60,14.38376675780823,3.8463696267977414
ABCC3,1.176170920179337e-56,18.97174794461961,4.245780701146571
ARHGEF16,3.0166035269594497e-54,7.857010884731249,2.9739805590525212
TMED3,6.85714936069883e-54,7.579829448040637,2.922165387019827
CD24,1.0083579263428279e-53,11.058759770349237,3.4671176926213176
EFNA4,1.8690092363203184e-53,6.94276749874061,2.795510858889186
VMP1,3.1509498964984684e-53,8.8048731589821,3.1383022210666396
GALNT7,3.2803428432934254e-53,9.379638220685562,3.2295322780403906
PYCR1,5.555089712399476e-53,8.194951505536071,3.034735412054493
DNAH14,5.727165032032066e-53,6.865795566947895,2.7794269008516297
HOOK1,7.318717445534934e-53,7.775016089842628,2.958845660801073
SSR4,9.498416090238887e-53,7.560975577732942,2.918572394545878
TMEM184A,1.1186221353396649e-52,7.037440311577211,2.815050780950347
SFN,2.5196134346199026e-52,9.943025213731428,3.3136848655527933
SLC39A11,1.5206269624593208e-51,7.315854651748546,2.871026412527224
RALGPS2,4.255801849406076e-51,8.304171954524971,3.053836317897617
SERINC2,4.845699532685779e-51,7.474212367057542,2.9019215560317533
TMEM92,5.346374301508913e-51,7.391670669897889,2.885900480037339
CTHRC1,2.0530912087185264e-50,14.74405095159729,3.882061056555287
ARHGEF19,2.4562444484612563e-50,6.691965869999067,2.7424300874401246
EPHA10,9.987358012814035e-50,4.793471358337705,2.2610708120412784
KDELR3,1.0379249521931175e-49,10.39881192027417,3.3783468026152175
TXNDC17,1.0723288726537443e-49,7.130709025400014,2.834045534813844
GGCT,1.486790054863236e-49,6.734649883970374,2.751602945867369
FUCA1,2.5611547240172793e-49,6.641866182878423,2.7315886564084497
RAB26,9.988738456527895e-49,6.907349380226385,2.7881321983668133
PODXL2,1.2149674494562228e-48,6.801041304104838,2.7657556536063934
RASAL1,1.9004518675111705e-48,6.007189952697806,2.5866902838880765
PDIA4,2.678952565647067e-48,7.381377185281178,2.8838900131710794
ILDR1,2.9246821094984123e-48,6.697617834465557,2.7436480583302383
LINC00467,3.772925284256884e-48,7.003117258946071,2.807997243908345
SMPDL3B,4.9660709463594624e-48,7.845948032164566,2.9719477797195255
TMEM182,5.140534749252637e-48,5.394368032807766,2.4314539533484134
SPDEF,5.731983770590314e-48,7.594743993202973,2.9250013345810304
